number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_weight_0,params_weight_1,params_weight_2,state,trial_number,iterations,learning_rate,depth,l2_leaf_reg,class_weight_0,class_weight_1,class_weight_2,f1_score
10.0,0.2942663767699607,2025-03-30 21:49:28.446055,2025-03-30 21:49:35.182133,0 days 00:00:06.736078,10.0,266.0,0.0657386761371456,0.0011196266820782,1.4811219624294802,3.5575413662824937,5.35354100876554,COMPLETE,,,,,,,,,
11.0,0.3012573233355192,2025-03-30 21:49:35.182133,2025-03-30 21:49:41.849920,0 days 00:00:06.667787,10.0,257.0,0.0742576969342881,0.0010243032264098,1.5846817798496604,3.53207916590914,5.372282897692888,COMPLETE,,,,,,,,,
12.0,0.1504739179967548,2025-03-30 21:49:41.852302,2025-03-30 21:49:48.476521,0 days 00:00:06.624219,10.0,319.0,0.0583155010358344,0.0011096240794935,1.4289877711349674,3.4730433700135275,5.104413350913601,COMPLETE,,,,,,,,,
13.0,0.1413306482546989,2025-03-30 21:49:48.477529,2025-03-30 21:49:54.241097,0 days 00:00:05.763568,10.0,258.0,0.0014643087288686,0.0111978246817163,1.1081896079797606,3.3252824807150865,5.324491244876242,COMPLETE,,,,,,,,,
14.0,0.3425192913753861,2025-03-30 21:49:54.241097,2025-03-30 21:50:00.863610,0 days 00:00:06.622513,10.0,225.0,0.1381237359425978,0.00100697335759,1.6029321794041156,3.395636902712252,4.00502100882512,COMPLETE,,,,,,,,,
15.0,0.4721482551012069,2025-03-30 21:50:00.865463,2025-03-30 21:50:05.360760,0 days 00:00:04.495297,9.0,209.0,0.2191561107326501,0.0118250804297588,1.597591457026008,2.9785511061499834,4.035266304631424,COMPLETE,,,,,,,,,
16.0,0.4628107835525514,2025-03-30 21:50:05.363096,2025-03-30 21:50:08.894296,0 days 00:00:03.531200,9.0,207.0,0.2296992875542961,0.0148850707393205,1.7465202916916998,2.955873734141556,4.134977554874162,COMPLETE,,,,,,,,,
17.0,0.477024081592359,2025-03-30 21:50:08.896476,2025-03-30 21:50:13.721374,0 days 00:00:04.824898,9.0,185.0,0.316472039528174,0.0187350893263033,1.7723662310081432,2.914218797973753,4.022916523475052,COMPLETE,,,,,,,,,
18.0,0.1960216666527635,2025-03-30 21:50:13.723381,2025-03-30 21:50:21.888960,0 days 00:00:08.165579,9.0,172.0,0.4027976689858892,0.0262285828556082,1.023249902054509,2.0501335878441203,4.618966757770172,COMPLETE,,,,,,,,,
19.0,0.1413306482546989,2025-03-30 21:50:21.890975,2025-03-30 21:50:25.087615,0 days 00:00:03.196640,9.0,102.0,0.0220233341602658,0.0087657033654203,1.3102400664914755,2.979248004798237,4.601960465225824,COMPLETE,,,,,,,,,
